,geo_code,1960 or before,1961 to 1980,1981 to 1990,1991 to 2000,2001 to 2005,2006 to 2010,2011 to 2016
573,35250394,60,250,70,30,10,0,0
574,35250395,160,235,25,20,0,0,0
575,35250396,110,220,25,20,0,0,0
576,35250397,75,195,45,10,15,0,0
577,35250398,70,155,15,0,0,0,0
578,35250399,170,420,50,55,0,10,0
579,35250400,160,210,30,20,0,0,10
580,35250401,75,205,60,40,10,10,0
581,35250402,170,20,55,10,0,0,0
582,35250403,170,190,40,20,0,0,0
583,35250404,170,15,0,0,0,10,0
584,35250405,180,15,0,0,0,0,0
585,35250406,230,110,25,10,0,0,0
586,35250407,145,85,15,0,10,0,0
587,35250408,135,25,15,45,0,10,0
588,35250409,150,30,10,10,0,35,0
589,35250410,165,20,10,0,10,0,0
590,35250411,195,15,0,10,0,0,0
591,35250412,130,150,70,35,0,0,0
592,35250413,160,30,20,10,0,0,10
593,35250416,190,0,15,0,10,10,0
594,35250417,90,150,0,0,0,0,0
595,35250418,40,155,35,20,10,40,0
596,35250419,115,170,25,10,10,0,0
597,35250420,160,190,45,80,15,0,70
598,35250421,115,260,45,10,0,0,0
599,35250422,240,295,40,0,10,0,0
600,35250423,165,195,40,40,0,0,0
601,35250424,155,190,50,30,0,0,0
602,35250425,115,235,25,0,0,15,145
603,35250426,220,35,0,0,0,0,0
604,35250427,120,55,0,10,0,0,0
605,35250428,70,155,20,15,0,0,0
606,35250429,65,95,25,10,0,0,10
607,35250430,155,80,15,0,10,10,10
608,35250431,110,155,65,15,0,0,10
609,35250434,175,365,50,80,25,80,0
610,35250435,85,90,25,25,10,0,10
611,35250436,160,120,25,10,0,0,0
612,35250437,175,90,10,0,10,0,0
613,35250438,145,55,0,0,0,0,0
614,35250439,35,160,50,30,10,0,0
615,35250440,105,310,15,0,10,0,0
616,35250441,125,165,25,20,0,0,0
617,35250442,195,100,0,0,10,10,0
618,35250443,170,15,10,10,0,0,0
619,35250444,175,105,30,0,0,0,10
620,35250445,160,0,0,0,0,0,0
621,35250446,205,30,0,0,0,0,0
622,35250447,135,15,0,0,0,0,0
623,35250448,270,65,25,20,0,0,0
624,35250449,170,35,0,0,0,0,0
625,35250450,115,35,40,10,0,0,0
626,35250451,95,45,0,0,0,0,0
627,35250452,130,15,10,0,0,0,10
628,35250453,95,60,10,25,10,0,0
629,35250454,225,120,20,10,0,0,0
630,35250455,205,55,0,0,0,0,0
631,35250456,180,100,45,25,0,0,0
